FetchedAt,Origin,Destination,DepartureDate,MinPrice,Currency,Segments
2025-06-19T19:50:06.716999,CDG,FCO,2025-06-19T22:10:00,197.23,EUR,2
2025-06-19T19:50:06.717016,CDG,FCO,2025-06-19T22:10:00,197.23,EUR,2
2025-06-19T19:50:06.717022,CDG,FCO,2025-06-19T22:00:00,1661.73,EUR,2
2025-06-19T19:50:06.717027,CDG,FCO,2025-06-19T22:00:00,1661.73,EUR,2
2025-06-19T19:50:06.717032,CDG,FCO,2025-06-19T22:40:00,1676.56,EUR,2
2025-06-19T19:50:06.717036,CDG,FCO,2025-06-19T22:40:00,1676.56,EUR,2
2025-06-19T19:51:41.083736,CDG,WAW,2025-06-19T22:10:00,197.23,EUR,2
2025-06-19T19:51:41.083775,CDG,WAW,2025-06-19T22:05:00,852.46,EUR,2
2025-06-19T19:51:41.083784,CDG,WAW,2025-06-19T22:40:00,1306.56,EUR,2
2025-06-19T19:51:41.083789,CDG,WAW,2025-06-19T22:55:00,2316.14,EUR,2
2025-06-19T19:52:12.995966,CDG,OTP,2025-06-19T22:10:00,186.23,EUR,2
2025-06-19T19:52:12.995984,CDG,OTP,2025-06-19T22:10:00,186.23,EUR,2
2025-06-19T19:52:12.995989,CDG,OTP,2025-06-19T22:40:00,1137.82,EUR,2
2025-06-19T19:52:12.995994,CDG,OTP,2025-06-19T22:40:00,1542.56,EUR,2
