FetchedAt,Origin,Destination,DepartureDate,MinPrice,Currency,NumberOfSegments
2025-06-08T17:14:19.235249,IST,BER,2025-06-08T20:50:00,175.21,EUR,2
2025-06-08T17:14:19.235266,IST,BER,2025-06-08T20:50:00,175.21,EUR,2
2025-06-08T17:14:19.235271,SAW,BER,2025-06-08T21:00:00,182.00,EUR,2
2025-06-08T17:14:19.235276,SAW,BER,2025-06-08T22:20:00,191.40,EUR,2
2025-06-08T17:14:19.235280,SAW,BER,2025-06-08T22:20:00,191.40,EUR,2
2025-06-08T17:14:19.235289,IST,BER,2025-06-08T23:55:00,196.72,EUR,2
2025-06-08T17:14:19.235293,IST,BER,2025-06-08T22:00:00,196.72,EUR,2
2025-06-08T17:14:19.235297,IST,BER,2025-06-08T22:10:00,196.72,EUR,2
2025-06-08T17:14:19.235300,IST,BER,2025-06-08T23:55:00,196.72,EUR,2
2025-06-08T17:14:19.235304,IST,BER,2025-06-08T23:55:00,647.72,EUR,2
2025-06-08T17:14:19.235308,IST,BER,2025-06-08T22:00:00,647.72,EUR,2
2025-06-08T17:14:19.235312,IST,BER,2025-06-08T21:20:00,681.29,EUR,2
2025-06-08T17:14:19.235316,IST,BER,2025-06-08T21:40:00,849.29,EUR,2
2025-06-08T17:16:00.166593,IST,LHR,2025-06-08T20:50:00,142.99,EUR,2
2025-06-08T17:16:00.166611,IST,LHR,2025-06-08T20:50:00,142.99,EUR,2
2025-06-08T17:16:00.166616,IST,LHR,2025-06-08T20:20:00,191.55,EUR,1
2025-06-08T17:16:00.166621,IST,LHR,2025-06-08T20:30:00,432.46,EUR,2
2025-06-08T17:16:00.166625,IST,LHR,2025-06-08T20:30:00,432.46,EUR,2
2025-06-08T17:16:00.166629,IST,LHR,2025-06-08T21:20:00,669.77,EUR,2
2025-06-08T17:16:00.166633,IST,LHR,2025-06-08T21:40:00,985.77,EUR,2
2025-06-08T17:16:00.166636,IST,LHR,2025-06-08T23:20:00,1055.15,EUR,2
2025-06-08T17:16:00.166640,IST,LHR,2025-06-08T23:20:00,1195.15,EUR,2
2025-06-08T17:16:00.166644,SAW,LHR,2025-06-08T22:25:00,1980.15,EUR,2
2025-06-08T17:16:00.166648,SAW,LHR,2025-06-08T22:25:00,1980.15,EUR,2
2025-06-08T17:17:43.486422,IST,CDG,2025-06-08T23:15:00,182.00,EUR,2
2025-06-08T17:17:43.486438,IST,CDG,2025-06-08T20:50:00,216.69,EUR,2
2025-06-08T17:17:43.486442,IST,CDG,2025-06-08T20:50:00,216.69,EUR,2
2025-06-08T17:17:43.486446,IST,CDG,2025-06-08T21:45:00,246.69,EUR,2
2025-06-08T17:17:43.486449,IST,CDG,2025-06-08T23:15:00,252.00,EUR,2
2025-06-08T17:17:43.486453,IST,CDG,2025-06-08T21:45:00,256.69,EUR,2
2025-06-08T17:17:43.486456,IST,CDG,2025-06-08T20:50:00,303.29,EUR,3
2025-06-08T17:17:43.486459,IST,CDG,2025-06-08T20:50:00,303.29,EUR,3
2025-06-08T17:17:43.486462,IST,CDG,2025-06-08T20:50:00,303.29,EUR,3
2025-06-08T17:17:43.486465,IST,CDG,2025-06-08T20:50:00,303.29,EUR,3
2025-06-08T17:17:43.486468,IST,CDG,2025-06-08T20:50:00,303.29,EUR,3
2025-06-08T17:17:43.486471,IST,CDG,2025-06-08T20:50:00,303.29,EUR,3
2025-06-08T17:17:43.486474,IST,CDG,2025-06-08T21:50:00,350.19,EUR,2
2025-06-08T17:17:43.486477,IST,CDG,2025-06-08T21:50:00,350.19,EUR,2
2025-06-08T17:17:43.486480,IST,CDG,2025-06-08T20:30:00,390.46,EUR,2
2025-06-08T17:17:43.486483,IST,CDG,2025-06-08T20:30:00,390.46,EUR,2
2025-06-08T17:17:43.486486,IST,CDG,2025-06-08T21:20:00,750.77,EUR,2
2025-06-08T17:17:43.486489,IST,CDG,2025-06-08T21:20:00,750.77,EUR,2
2025-06-08T17:17:43.486492,IST,CDG,2025-06-08T21:40:00,918.77,EUR,2
2025-06-08T17:17:43.486495,IST,CDG,2025-06-08T21:40:00,918.77,EUR,2
2025-06-08T17:17:43.486498,IST,CDG,2025-06-08T23:20:00,1249.05,EUR,2
2025-06-08T17:17:43.486501,IST,CDG,2025-06-08T23:20:00,1249.05,EUR,2
2025-06-08T17:17:43.486504,IST,CDG,2025-06-08T21:45:00,1876.68,EUR,2
2025-06-08T17:19:24.761660,IST,FCO,2025-06-08T23:15:00,163.00,EUR,2
2025-06-08T17:19:24.761679,IST,FCO,2025-06-08T21:50:00,163.85,EUR,1
2025-06-08T17:19:24.761685,IST,FCO,2025-06-08T21:50:00,200.00,EUR,1
2025-06-08T17:19:24.761689,IST,FCO,2025-06-08T20:50:00,203.69,EUR,2
2025-06-08T17:19:24.761693,IST,FCO,2025-06-08T21:45:00,223.69,EUR,2
2025-06-08T17:19:24.761697,IST,FCO,2025-06-08T20:50:00,302.69,EUR,2
2025-06-08T17:19:24.761700,IST,FCO,2025-06-08T21:45:00,329.69,EUR,2
2025-06-08T17:19:24.761704,IST,FCO,2025-06-08T20:50:00,542.20,EUR,2
2025-06-08T17:19:24.761708,IST,FCO,2025-06-08T21:20:00,691.77,EUR,2
2025-06-08T17:19:24.761712,IST,FCO,2025-06-08T21:40:00,859.77,EUR,2
2025-06-08T17:19:24.761716,IST,FCO,2025-06-08T23:20:00,1126.05,EUR,2
2025-06-08T17:19:24.761719,IST,FCO,2025-06-08T23:20:00,1126.05,EUR,2
2025-06-08T17:19:24.761723,SAW,FCO,2025-06-08T22:25:00,2051.05,EUR,2
2025-06-08T17:19:24.761727,SAW,FCO,2025-06-08T22:25:00,2051.05,EUR,2
2025-06-08T17:21:03.472915,IST,MAD,2025-06-08T20:50:00,145.69,EUR,2
2025-06-08T17:21:03.472933,IST,MAD,2025-06-08T20:50:00,145.69,EUR,2
2025-06-08T17:21:03.472939,IST,MAD,2025-06-08T23:15:00,302.00,EUR,2
2025-06-08T17:21:03.472943,IST,MAD,2025-06-08T21:50:00,350.19,EUR,2
2025-06-08T17:21:03.472947,IST,MAD,2025-06-08T21:50:00,350.19,EUR,2
2025-06-08T17:21:03.472951,IST,MAD,2025-06-08T20:30:00,430.46,EUR,2
2025-06-08T17:21:03.472955,IST,MAD,2025-06-08T21:40:00,460.00,EUR,2
2025-06-08T17:21:03.472959,IST,MAD,2025-06-08T21:20:00,729.77,EUR,2
2025-06-08T17:21:03.472963,SAW,MAD,2025-06-08T22:25:00,767.05,EUR,3
2025-06-08T17:21:03.472967,SAW,MAD,2025-06-08T22:25:00,789.37,EUR,3
2025-06-08T17:21:03.472971,IST,MAD,2025-06-08T21:40:00,897.77,EUR,2
2025-06-08T17:21:03.472975,IST,MAD,2025-06-08T23:20:00,1082.05,EUR,2
2025-06-08T17:21:03.472979,IST,MAD,2025-06-08T23:20:00,1082.05,EUR,2
2025-06-08T17:21:03.472983,SAW,MAD,2025-06-08T22:25:00,2007.05,EUR,2
2025-06-08T17:21:03.472987,SAW,MAD,2025-06-08T22:25:00,2007.05,EUR,2
2025-06-08T17:24:51.004999,IST,WAW,2025-06-08T20:50:00,148.69,EUR,2
2025-06-08T17:24:51.005014,IST,WAW,2025-06-08T21:45:00,223.69,EUR,2
2025-06-08T17:24:51.005018,IST,WAW,2025-06-08T21:45:00,231.69,EUR,2
2025-06-08T17:24:51.005021,IST,WAW,2025-06-08T23:20:00,1143.05,EUR,2
2025-06-08T17:24:51.005025,IST,WAW,2025-06-08T23:15:00,1250.00,EUR,2
2025-06-08T17:24:51.005028,IST,WAW,2025-06-08T23:15:00,1272.32,EUR,2
2025-06-08T17:24:51.005031,IST,WAW,2025-06-08T23:20:00,1851.05,EUR,2
2025-06-08T17:24:51.005034,SAW,WAW,2025-06-08T22:25:00,2068.05,EUR,2
2025-06-08T17:24:51.005038,SAW,WAW,2025-06-08T22:25:00,2068.05,EUR,2
2025-06-08T17:26:27.574801,IST,OTP,2025-06-08T23:15:00,69.00,EUR,1
2025-06-08T17:26:27.574820,IST,OTP,2025-06-08T20:50:00,174.69,EUR,2
2025-06-08T17:26:27.574825,IST,OTP,2025-06-08T20:50:00,174.69,EUR,2
2025-06-08T17:26:27.574830,IST,OTP,2025-06-08T23:15:00,229.20,EUR,1
2025-06-08T17:26:27.574834,SAW,OTP,2025-06-08T22:25:00,552.05,EUR,2
2025-06-08T17:26:27.574838,SAW,OTP,2025-06-08T22:25:00,552.05,EUR,2
2025-06-08T17:26:27.574841,IST,OTP,2025-06-08T23:20:00,712.05,EUR,2
2025-06-08T17:26:27.574845,IST,OTP,2025-06-08T23:20:00,892.05,EUR,2
2025-06-08T17:26:27.574849,IST,OTP,2025-06-08T23:20:00,892.05,EUR,2
2025-06-08T17:26:27.574853,IST,OTP,2025-06-08T23:20:00,988.05,EUR,2
2025-06-08T17:26:27.574857,SAW,OTP,2025-06-08T22:25:00,1637.05,EUR,2
2025-06-08T17:26:27.574861,SAW,OTP,2025-06-08T22:25:00,1912.05,EUR,2
2025-06-08T17:28:35.670308,IST,AMS,2025-06-08T20:50:00,159.69,EUR,2
2025-06-08T17:28:35.670344,IST,AMS,2025-06-08T23:15:00,165.00,EUR,2
2025-06-08T17:28:35.670349,IST,AMS,2025-06-08T21:45:00,232.69,EUR,2
2025-06-08T17:28:35.670353,IST,AMS,2025-06-08T21:45:00,254.69,EUR,2
2025-06-08T17:28:35.670356,IST,AMS,2025-06-08T21:50:00,350.19,EUR,2
2025-06-08T17:28:35.670360,IST,AMS,2025-06-08T21:50:00,350.19,EUR,2
2025-06-08T17:28:35.670363,IST,AMS,2025-06-08T23:15:00,1165.49,EUR,2
2025-06-08T17:28:35.670367,IST,AMS,2025-06-08T23:15:00,1187.81,EUR,2
2025-06-08T17:28:35.670370,IST,AMS,2025-06-08T23:20:00,1421.05,EUR,2
2025-06-08T17:28:35.670373,IST,AMS,2025-06-08T23:20:00,1421.05,EUR,2
2025-06-08T17:28:35.670377,SAW,AMS,2025-06-08T22:25:00,2345.05,EUR,2
2025-06-08T17:28:35.670380,SAW,AMS,2025-06-08T22:25:00,2345.05,EUR,2
2025-06-08T17:30:09.781559,SAW,ARN,2025-06-08T22:20:00,206.88,EUR,2
2025-06-08T17:30:09.781581,IST,ARN,2025-06-08T20:50:00,315.69,EUR,2
2025-06-08T17:30:09.781586,IST,ARN,2025-06-08T20:50:00,333.69,EUR,2
2025-06-08T17:30:09.781591,IST,ARN,2025-06-08T23:20:00,990.05,EUR,2
2025-06-08T17:30:09.781596,IST,ARN,2025-06-08T20:50:00,1646.19,EUR,2
2025-06-08T17:30:09.781601,SAW,ARN,2025-06-08T22:25:00,1916.05,EUR,2
2025-06-08T17:30:09.781606,IST,ARN,2025-06-08T23:55:00,1977.98,EUR,3
2025-06-08T17:30:09.781610,IST,ARN,2025-06-08T22:10:00,1977.98,EUR,3
2025-06-08T17:32:00.264518,IST,BRU,2025-06-08T20:50:00,132.97,EUR,2
2025-06-08T17:32:00.264533,IST,BRU,2025-06-08T23:15:00,164.28,EUR,2
2025-06-08T17:32:00.264537,IST,BRU,2025-06-08T21:45:00,212.97,EUR,2
2025-06-08T17:32:00.264540,IST,BRU,2025-06-08T21:45:00,254.97,EUR,2
2025-06-08T17:32:00.264543,IST,BRU,2025-06-08T21:50:00,350.47,EUR,2
2025-06-08T17:32:00.264547,IST,BRU,2025-06-08T23:20:00,1174.33,EUR,2
2025-06-08T17:32:00.264550,IST,BRU,2025-06-08T23:20:00,1174.33,EUR,2
2025-06-08T17:32:00.264553,SAW,BRU,2025-06-08T22:25:00,2099.33,EUR,2
2025-06-08T17:32:00.264556,SAW,BRU,2025-06-08T22:25:00,2099.33,EUR,2
2025-06-08T17:33:39.900135,IST,ATH,2025-06-08T21:45:00,114.00,EUR,1
2025-06-08T17:33:39.900153,IST,ATH,2025-06-08T20:50:00,141.00,EUR,1
2025-06-08T17:33:39.900157,IST,ATH,2025-06-08T21:45:00,153.50,EUR,1
2025-06-08T17:33:39.900161,IST,ATH,2025-06-08T23:15:00,167.32,EUR,2
2025-06-08T17:33:39.900165,IST,ATH,2025-06-08T20:50:00,306.01,EUR,1
2025-06-08T17:33:39.900169,IST,ATH,2025-06-08T21:50:00,350.19,EUR,2
2025-06-08T17:33:39.900173,IST,ATH,2025-06-08T21:50:00,350.19,EUR,2
2025-06-08T17:33:39.900177,IST,ATH,2025-06-08T23:20:00,844.05,EUR,2
2025-06-08T17:33:39.900181,SAW,ATH,2025-06-08T22:25:00,1769.05,EUR,2
2025-06-08T17:33:39.900184,SAW,ATH,2025-06-08T22:25:00,1769.05,EUR,2
2025-06-08T17:35:16.259335,IST,PRG,2025-06-08T23:15:00,157.00,EUR,2
2025-06-08T17:35:16.259352,IST,PRG,2025-06-08T20:50:00,165.69,EUR,2
2025-06-08T17:35:16.259357,IST,PRG,2025-06-08T20:50:00,211.69,EUR,2
2025-06-08T17:35:16.259361,IST,PRG,2025-06-08T21:45:00,246.69,EUR,2
2025-06-08T17:35:16.259365,IST,PRG,2025-06-08T22:50:00,346.00,EUR,2
2025-06-08T17:35:16.259369,IST,PRG,2025-06-08T21:45:00,348.69,EUR,2
2025-06-08T17:35:16.259372,IST,PRG,2025-06-08T21:45:00,651.00,EUR,2
2025-06-08T17:35:16.259376,IST,PRG,2025-06-08T23:20:00,1272.05,EUR,2
2025-06-08T17:35:16.259379,IST,PRG,2025-06-08T23:20:00,1979.05,EUR,2
2025-06-08T17:35:16.259383,SAW,PRG,2025-06-08T22:25:00,2197.05,EUR,2
2025-06-08T17:35:16.259386,SAW,PRG,2025-06-08T22:25:00,2197.05,EUR,2
